Substância Ativa/DCI,Nome do Medicamento,Forma Farmacêutica,Dosagem,Titular de AIM,Genérico,Estado da AIM,Comercialização
Valsartan,Valsartan Generis Phar,Comprimido revestido por película,40 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Valsartan,Valsartan Generis Phar,Comprimido revestido por película,80 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Metformina + Sitagliptina,Metformina + Sitagliptina Ribastex,Comprimido revestido por película,1000 mg + 50 mg,"Alter, S.A.",Sim,Autorizado,Não Comercializado
Metformina + Sitagliptina,Metformina + Sitagliptina Ripzen,Comprimido revestido por película,1000 mg + 50 mg,"Farmalter - Produtos Farmacêuticos e Dietéticos, Lda.",Sim,Autorizado,Não Comercializado
Sugamadex,Sugamadex Teva,Solução injetável,100 mg/ml,Teva B.V.,Sim,Autorizado,Comercializado
Rosuvastatina + Ezetimiba,Zenon,Comprimido revestido por película,10 mg + 10 mg,"Sanofi - Produtos Farmacêuticos, Lda.",Não,Autorizado,Comercializado
Bilastina,Bilastina Verum Pharma,Comprimido,20 mg,"Verum Pharma - Produtos Farmacêuticos - Unipessoal, Lda",Sim,Autorizado,Não Comercializado
Latanoprost,Catiolanze,"Colírio, emulsão",50 µg/ml,Santen Oy,Não,Autorizado,Não Comercializado
Ranibizumab,Ximluci,Solução injetável,10 mg/ml,Stada Arzneimittel A.G.,Não,Autorizado,Comercializado
Ibuprofeno,Stodorfen,Comprimido revestido por película,200 mg,Teva B.V.,Sim,Autorizado,Comercializado
Cefixima,Cefixima Aurobindo,Pó para suspensão oral,20 mg/ml,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Donepezilo,Donepezilo Orua,Comprimido revestido por película,10 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Aminoácidos,Primene 10%,Solução para perfusão,Associação,"Baxter Médico-Farmacêutica, Lda.",Não,Autorizado,Comercializado
Finasterida,Finasterida Bluefish,Comprimido revestido por película,5 mg,Bluefish Pharmaceuticals AB,Sim,Autorizado,Não Comercializado
Finasterida,Finasterida Bluefish,Comprimido revestido por película,1 mg,Bluefish Pharmaceuticals AB,Sim,Autorizado,Não Comercializado
Escitalopram,Escitalopram Generis,Comprimido orodispersível,5 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Bortezomib,Bortezomib Accord,Pó para solução injetável,1 mg,"Accord Healthcare, S.L.U.",Sim,Autorizado,Não Comercializado
Solifenacina + Tansulosina,Solifenacina + Tansulosina Mylan,Comprimido de libertação modificada,6 mg + 0.4 mg,"Mylan, Lda.",Sim,Autorizado,Não Comercializado
Ésteres etílicos 90 do ácido omega-3,Zodin,Cápsula mole,1000 mg,BASF AS,Não,Autorizado,Não Comercializado
Isoprenalina,Isoprenalina Tillomed,Solução injetável ou para perfusão,1 mg/5 ml,Laboratorios Tillomed Spain S.L.U,Não,Autorizado,Não Comercializado
Cefuroxima,Cefuroxima Baroque,Comprimido revestido por película,250 mg,"Baroque Healthcare, Lda",Sim,Autorizado,Não Comercializado
Cefuroxima,Cefuroxima Baroque,Comprimido revestido por película,500 mg,"Baroque Healthcare, Lda",Sim,Autorizado,Não Comercializado
Minoxidil,Trinox,Comprimido,5 mg,"Laboratório Edol - Produtos Farmacêuticos, S.A.",Não,Autorizado,Não Comercializado
Ibuprofeno,Dimidon,Suspensão oral,20 mg/ml,"Laboratórios Basi - Indústria Farmacêutica, S.A",Não,Autorizado,Comercializado
Clotrimazol,Candigen,Creme vaginal,20 mg/g,"Laboratórios Basi - Indústria Farmacêutica, S.A",Não,Autorizado,Comercializado
Fosfato monopotássico,Fosfato Monopotássico Braun,Solução injetável,136.13 mg/ml,"B. Braun Medical, Unipessoal Lda.",Não,Autorizado,Comercializado
Pancreatina,Kreon,Cápsula gastrorresistente,150 mg,"BGP Products, Unipessoal Lda.",Não,Autorizado,Comercializado
Paracetamol,Paracetamol Alter,Comprimido,500 mg,"Alter, S.A.",Sim,Autorizado,Comercializado
Bortezomib,Bortezomib Fresenius Kabi,Pó para solução injetável,3.5 mg,Fresenius Kabi Deutschland GmbH,Sim,Autorizado,Comercializado
Óleo de soja,Banhóleum,Aditivo para banho,800 mg/g,"Confar - Consórcio Farmacêutico, Lda.",Não,Autorizado,Não Comercializado
Eritromicina,Eritrocel,Pó para solução injetável,1000 mg,"Labesfal - Laboratórios Almiro, S.A.",Não,Autorizado,Comercializado
Folinato de cálcio,Medifolin,Cápsula,15 mg,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Bicarbonato de sódio,Alka-Seltzer,Comprimido efervescente,2081.8 mg,"Bayer Portugal, Lda.",Não,Autorizado,Comercializado
Iomeprol,Iomeron 400,Solução injetável,816.5 mg/ml,"Bracco Imaging, S.p.A.",Não,Autorizado,Comercializado
Prednisolona + Neomicina + Sulfacetamida,Meocil,Pomada oftálmica,5 mg/g + 5 mg/g + 100 mg/g,"Laboratório Edol - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Alprazolam,"Alprazolam GP 0,5 mg Comprimidos",Comprimido,0.5 mg,"GP - Genéricos Portugueses, Lda.",Sim,Autorizado,Não Comercializado
Claritromicina,Klacid Pediátrico,Granulado para suspensão oral,50 mg/ml,"BGP Products, Unipessoal Lda.",Não,Autorizado,Comercializado
Gadobutrol,Memovist,Solução injetável,1 mmol/ml,"Bayer Portugal, Lda.",Não,Autorizado,Não Comercializado
Gadobutrol,Memovist,Solução injetável em seringa pré-cheia,1 mmol/ml,"Bayer Portugal, Lda.",Não,Autorizado,Não Comercializado
Mesoglicano sódico,Prisma,Cápsula,24 mg,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Esomeprazol,Nexium Control,Cápsula gastrorresistente,20 mg,GlaxoSmithKline Dungarvan Limited,Não,Autorizado,Não Comercializado
Nitisinona,Nityr,Comprimido,10 mg,Cycle Pharmaceuticals Ltd,Sim,Autorizado,Não Comercializado
Aspartato de arginina,Pan-Asténico R,Solução oral,5000 mg/10 ml,"Faes Farma Portugal, S.A.",Não,Autorizado,Comercializado
Paracetamol,Paracetamol Kabi,Solução para perfusão,10 mg/ml,"Fresenius Kabi Pharma Portugal, Lda.",Sim,Autorizado,Comercializado
Rivaroxabano,Rivaroxabano Aurovitas,Comprimido revestido por película,10 mg,"Generis Phar, Unipessoal Lda.",Sim,Autorizado,Não Comercializado
Rivaroxabano,Rivaroxabano Aurovitas,Comprimido revestido por película,15 mg,"Generis Phar, Unipessoal Lda.",Sim,Autorizado,Não Comercializado
Rivaroxabano,Rivaroxabano Aurovitas,Comprimido revestido por película,20 mg,"Generis Phar, Unipessoal Lda.",Sim,Autorizado,Não Comercializado
Epoprostenol,Veletri,Pó para solução para perfusão,0.5 mg,Janssen-Cilag International N.V.,Não,Autorizado,Comercializado
Aripiprazol,Aripiprazol Bluepharma,Comprimido,10 mg,Bluepharma Genéricos - Comércio de Medicamentos S.A.,Sim,Autorizado,Não Comercializado
Buprenorfina,Buprenorfina ratiopharm,Adesivo transdérmico,52.5 µg/h,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Valsartan,Valsartan Coratenz,Comprimido revestido por película,80 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Não Comercializado
Valsartan,Valsartan Coratenz,Comprimido revestido por película,160 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Não Comercializado
Aripiprazol,Aripiprazol Mylan Pharma,Comprimido,15 mg,Mylan Pharmaceuticals Limited,Sim,Autorizado,Comercializado
Valsartan,Valsartan Coratenz,Comprimido revestido por película,320 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Não Comercializado
Idarrubicina,Zavedos CS,Solução injetável,10 mg/10 ml,"Laboratórios Pfizer, Lda.",Não,Autorizado,Não Comercializado
Lamotrigina,Lamotrigina Generis,Comprimido,50 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Oxigénio,Oxigénio medicinal líquido SOL,Gás medicinal criogénico,100 %,"SOL, S.p.A.",Não,Autorizado,Não Comercializado
Oxigénio,Oxigénio medicinal líquido SOL,Gás medicinal criogénico,100 %,"SOL, S.p.A.",Não,Autorizado,Não Comercializado
Ácido cromoglícico,Opticrom,"Colírio, solução",20 mg/ml,"Opella Healthcare Portugal, Unipessoal Lda",Não,Autorizado,Comercializado
Carbonato de cálcio + Colecalciferol,Natecal D,Comprimido para mastigar,1500 mg + 400 U.I.,"Italfarmaco - Produtos Farmacêuticos, Lda.",Não,Autorizado,Comercializado
Ertapenem,Ertapenem Generis,Pó para concentrado para solução para perfusão,1000 mg,Eugia Pharma (Malta) Limited,Sim,Autorizado,Não Comercializado
Sevoflurano,Sevoflurano Ojourn,Líquido para inalação por vaporização,100 %,Piramal Critical Care BV,Sim,Autorizado,Comercializado
Ácido valpróico,Depakine,Pó e solvente para solução injetável,400 mg/4 ml,"Sanofi - Produtos Farmacêuticos, Lda.",Não,Autorizado,Comercializado
Betametasona + Ácido fusídico,Fucicort Lipid,Creme,1 mg/g + 20 mg/g,Leo Pharma A/S,Não,Autorizado,Comercializado
Abiraterona,Abiraterona Farmoz,Comprimido revestido por película,500 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Não Comercializado
Treprostinilo,Treprostinilo Reddy,Solução para perfusão,1 mg/ml,Reddy Holding GmbH,Sim,Autorizado,Não Comercializado
Treprostinilo,Treprostinilo Reddy,Solução para perfusão,2.5 mg/ml,Reddy Holding GmbH,Sim,Autorizado,Não Comercializado
Clotrimazol,Clotrimazol Farmoz,Creme,10 mg/g,"Farmoz - Sociedade Técnico Medicinal, S.A.",Não,Autorizado,Comercializado
Tiossulfato de sódio,Pedmarqsi,Solução para perfusão,80 mg/ml,Fennec Pharmaceuticals (EU) Limited,Não,Autorizado,Não Comercializado
Clotrimazol,Clotrimazol Farmoz,Solução cutânea,10 mg/ml,"Farmoz - Sociedade Técnico Medicinal, S.A.",Não,Autorizado,Não Comercializado
Quetiapina,Quetiapina Accord,Comprimido de libertação prolongada,50 mg,"Accord Healthcare, S.L.U.",Sim,Autorizado,Não Comercializado
Treprostinilo,Treprostinilo Reddy,Solução para perfusão,5 mg/ml,Reddy Holding GmbH,Sim,Autorizado,Não Comercializado
Losartan,Losartan Beapy,Comprimido revestido por película,12.5 mg,"Bluemed, Unipessoal Lda.",Sim,Autorizado,Não Comercializado
Cefuroxima,Cefuroxima Basi,Comprimido revestido,500 mg,"Laboratórios Basi - Indústria Farmacêutica, S.A",Sim,Autorizado,Não Comercializado
Cefuroxima,Cefuroxima Mylan,Comprimido revestido,500 mg,"Mylan, Lda.",Sim,Autorizado,Não Comercializado
Oxicodona + Naloxona,Targin,Comprimido de libertação prolongada,2.5 mg + 1.25 mg,Mundipharma Farmacêutica Lda,Não,Autorizado,Não Comercializado
Oxicodona + Naloxona,Targin,Comprimido de libertação prolongada,15 mg + 7.5 mg,Mundipharma Farmacêutica Lda,Não,Autorizado,Não Comercializado
Epoprostenol,Veletri,Pó para solução para perfusão,1.5 mg,Janssen-Cilag International N.V.,Não,Autorizado,Comercializado
Lenalidomida,Lenalidomida Tecnigen,Cápsula,20 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Não Comercializado
Lenalidomida,Lenalidomida Tecnigen,Cápsula,15 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Comercializado
Epoprostenol,Veletri,Pó e solvente para solução para perfusão,0.5 mg,Janssen-Cilag International N.V.,Não,Autorizado,Não Comercializado
Sotorasib,Lumykras,Comprimido revestido por película,120 mg,"Amgen Europe, B.V.",Não,Autorizado,Não Comercializado
Epoprostenol,Veletri,Pó e solvente para solução para perfusão,1.5 mg,Janssen-Cilag International N.V.,Não,Autorizado,Não Comercializado
Tramadol + Paracetamol,Tramadol + Paracetamol Aurobindo,Comprimido revestido por película,37.5 mg + 325 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Memantina,Memantina Aristo,Comprimido revestido por película,(5 mg)+(10 mg)+(15 mg)+(20 mg),"Aristo Pharma Iberia, SL",Sim,Autorizado,Não Comercializado
Lacosamida,Vimpat,Xarope,10 mg/ml,"UCB Pharma, S.A.",Não,Autorizado,Não Comercializado
Rosuvastatina + Ezetimiba,Rosuvastatina + Ezetimiba Krka,Comprimido revestido por película,10 mg + 10 mg,"KRKA d.d., Novo mesto",Não,Autorizado,Comercializado
Rosuvastatina + Ezetimiba,Rosuvastatina + Ezetimiba Krka,Comprimido revestido por película,20 mg + 10 mg,"KRKA d.d., Novo mesto",Não,Autorizado,Comercializado
Besilato de cisatracúrio,Cisatracúrio Gobens,Solução injetável ou para perfusão,2 mg/ml,"Laboratórios Normon, S.A.",Sim,Autorizado,Comercializado
Besilato de cisatracúrio,Cisatracúrio Gobens,Solução injetável ou para perfusão,5 mg/ml,"Laboratórios Normon, S.A.",Sim,Autorizado,Não Comercializado
Metformina + Sitagliptina,Metformina + Sitagliptina Pharmazac,Comprimido revestido por película,850 mg + 50 mg,"Pharmazac Pharmaceutical Commercial Industrial, S.A",Sim,Autorizado,Não Comercializado
Benzidamina + Cloreto de cetilpiridínio,Septolete Duo limão e mel,Pastilha,3 mg + 1 mg,"KRKA Farmacêutica, Sociedade Unipessoal, Lda.",Não,Autorizado,Comercializado
Bortezomib,Bortezomib Reddy,Pó para solução injetável,3.5 mg,Reddy Holding GmbH,Sim,Autorizado,Comercializado
Metformina + Sitagliptina,Metformina + Sitagliptina Pharmazac,Comprimido revestido por película,1000 mg + 50 mg,"Pharmazac Pharmaceutical Commercial Industrial, S.A",Sim,Autorizado,Não Comercializado
Lenalidomida,Lenalidomida Grindeks,Cápsula,2.5 mg,AS Grindeks,Sim,Autorizado,Comercializado
Benzidamina + Cloreto de cetilpiridínio,Septolete Duo limão e flor de sabugueiro,Pastilha,3 mg + 1 mg,"KRKA Farmacêutica, Sociedade Unipessoal, Lda.",Não,Autorizado,Comercializado
Dexametasona,Decadron,Comprimido,0.5 mg,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Capecitabina,Capecitabina Farmoz,Comprimido revestido por película,500 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Não Comercializado
Dalteparina sódica,Fragmin,Solução injetável,2500 U.I./0.2 ml,"Laboratórios Pfizer, Lda.",Não,Autorizado,Comercializado
Estradiol + Noretisterona,Activelle,Comprimido revestido,1 mg + 0.5 mg,"ISDIN - Laboratório Farmacêutico Unipessoal, Lda.",Não,Autorizado,Comercializado
Goserrelina,Goserrelina Teva,Implante em seringa pré-cheia,3.6 mg,"Teva Pharma - Produtos Farmacêuticos, Lda.",Não,Autorizado,Não Comercializado
Goserrelina,Goserrelina Teva LA,Implante em seringa pré-cheia,10.8 mg,"Teva Pharma - Produtos Farmacêuticos, Lda.",Não,Autorizado,Não Comercializado
Captopril,Hipotensil,Comprimido,50 mg,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Não,Autorizado,Não Comercializado
Oxigénio,Oxigénio medicinal gasoso SOL,Gás medicinal comprimido,100 %,"SOL, S.p.A.",Não,Autorizado,Não Comercializado
Oxicodona + Naloxona,Targin,Comprimido de libertação prolongada,30 mg + 15 mg,Mundipharma Farmacêutica Lda,Não,Autorizado,Não Comercializado
Candesartan + Hidroclorotiazida,Candesartan + Hidroclorotiazida Aurovitas,Comprimido,32 mg + 12.5 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Paracetamol,Panasorbe,Comprimido,500 mg,"Opella Healthcare Portugal, Unipessoal Lda",Não,Autorizado,Comercializado
Temozolomida,Temomedac,Cápsula,20 mg,Medac Gesellschaft fur klinische Spezialpraparate mbH,Sim,Autorizado,Não Comercializado
Temozolomida,Temomedac,Cápsula,100 mg,Medac Gesellschaft fur klinische Spezialpraparate mbH,Sim,Autorizado,Não Comercializado
Perindopril + Indapamida + Amlodipina,Prindal,Comprimido,4 mg + 1.25 mg + 10 mg,"Zentiva Portugal, Lda.",Não,Autorizado,Comercializado
Temozolomida,Temomedac,Cápsula,140 mg,Medac Gesellschaft fur klinische Spezialpraparate mbH,Sim,Autorizado,Não Comercializado
Temozolomida,Temomedac,Cápsula,180 mg,Medac Gesellschaft fur klinische Spezialpraparate mbH,Sim,Autorizado,Não Comercializado
Siponimod,Mayzent,Comprimido revestido por película,1 mg,Novartis Europharm Limited,Não,Autorizado,Não Comercializado
Colecalciferol,Vidoil,Solução oral,25000 U.I./2.5 ml,OP PHARMA S.R.L.,Não,Autorizado,Não Comercializado
Memantina,Memantina Zentiva,Comprimido revestido por película,(5 mg)+(10 mg)+(15 mg)+(20 mg),"Zentiva Portugal, Lda.",Sim,Autorizado,Não Comercializado
Valsartan,Valsartan Aurovitas,Comprimido revestido por película,160 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Levobupivacaína,Levobupivacaína Normon,Solução para perfusão,0.625 mg/ml,"Laboratórios Normon, S.A.",Sim,Autorizado,Não Comercializado
Levobupivacaína,Levobupivacaína Normon,Solução para perfusão,1.25 mg/ml,"Laboratórios Normon, S.A.",Sim,Autorizado,Não Comercializado
Levobupivacaína,Levobupivacaína Normon,Solução injetável ou para perfusão,2.5 mg/ml,"Laboratórios Normon, S.A.",Sim,Autorizado,Comercializado
Sugamadex,Sugamadex Baxter,Solução injetável,100 mg/ml,Baxter Holding BV,Sim,Autorizado,Não Comercializado
Pegfilgrastim,Pelgraz,Solução injetável em injetor pré-cheio,6 mg/0.6 ml,"Accord Healthcare, S.L.U.",Não,Autorizado,Comercializado
Olanzapina,Olanzapina Aurovitas,Comprimido orodispersível,10 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Valsartan,Valsartan Aurovitas,Comprimido revestido por película,80 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Subcitrato de bismuto potássico + Metronidazol + Tetraciclina,Pylera,Cápsula,140 mg + 125 mg + 125 mg,Laboratoires Juvisé Pharmaceuticals,Não,Autorizado,Comercializado
Nivolumab,Opdivo,Concentrado para solução para perfusão,10 mg/ml,Bristol-Myers Squibb Pharma EEIG,Não,Autorizado,Comercializado
Carbonato de cálcio + Lactogluconato de cálcio,Calcium Sandoz Forte,Comprimido efervescente,875 mg + 1132 mg,"Sandoz Farmacêutica, Lda.",Não,Autorizado,Comercializado
Olanzapina,Olanzapina Generis,Comprimido,15 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Ramipril,Ramipril Generis,Cápsula,1.25 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Metilfenidato,Metilfenidato Ciclum,Cápsula de libertação modificada,60 mg,"Ciclum Farma Unipessoal, Lda.",Sim,Autorizado,Não Comercializado
Imunoglobulina humana normal,Intratect,Solução para perfusão,100 mg/ml,Biotest Pharma GmbH,Não,Autorizado,Não Comercializado
Teicoplanina,Teprocid,Pó e solvente para solução injectável ou para perfusão ou para solução oral,200 mg/3.2 ml,Stasisport Pharma N.V.,Sim,Autorizado,Não Comercializado
Tadalafil,Tadalafil Jaba,Comprimido revestido por película,5 mg,"Jaba Recordati, S.A.",Sim,Autorizado,Não Comercializado
Leuprorrelina,Eligard,Pó e solvente para solução injetável,45 mg,"Recordati Industria Chimica e Farmaceutica, S.p.A.",Não,Autorizado,Comercializado
Moxifloxacina,Moxifloxacina Aurobindo,Comprimido revestido por película,400 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Latanoprost + Timolol,Latanoprost + Timolol Generis,"Colírio, solução",0.05 mg/ml + 5 mg/ml,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Pantoprazol,Pantoprazol Aristo,Comprimido gastrorresistente,20 mg,"Aristo Pharma Iberia, SL",Sim,Autorizado,Não Comercializado
Cloranfenicol,Micetinoftalmina,"Colírio, solução",5 mg/ml,"DAVI II - Farmacêutica, S.A.",Não,Autorizado,Comercializado
Pantoprazol,Pantoprazol Aristo,Comprimido gastrorresistente,40 mg,"Aristo Pharma Iberia, SL",Sim,Autorizado,Não Comercializado
Buprenorfina,Buprenorfina Aurovitas,Comprimido sublingual,0.4 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Ácido flufenâmico + Heparinóide,Mobilisin,Creme,30 mg/g + 2 mg/g,"Ciclum Farma Unipessoal, Lda.",Não,Autorizado,Comercializado
Gliclazida,Gliclazida Generis,Comprimido de libertação modificada,60 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Pravastatina,Pravastatina Aurobindo,Comprimido,40 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Ciprofloxacina,Cetraflux,"Colírio, solução em recipiente unidose",3 mg/ml,"Laboratorios Salvat, S.A.",Não,Autorizado,Não Comercializado
Aminoácidos + Glucose + Lípidos,Olimel N7,Emulsão para perfusão,Associação,"Baxter Médico-Farmacêutica, Lda.",Não,Autorizado,Não Comercializado
Hidrocortisona,Pandermil,Creme,10 mg/g,"Laboratório Edol - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Aminoácidos + Electrólitos + Glucose + Lípidos,Olimel N7E,Emulsão para perfusão,Associação,"Baxter Médico-Farmacêutica, Lda.",Não,Autorizado,Comercializado
Aminoácidos + Glucose + Lípidos,Olimel N9,Emulsão para perfusão,Associação,"Baxter Médico-Farmacêutica, Lda.",Não,Autorizado,Comercializado
Aminoácidos + Electrólitos + Glucose + Lípidos,Olimel N9E,Emulsão para perfusão,Associação,"Baxter Médico-Farmacêutica, Lda.",Não,Autorizado,Comercializado
Hidrocortisona,Pandermil,Pomada,10 mg/g,"Laboratório Edol - Produtos Farmacêuticos, S.A.",Não,Autorizado,Comercializado
Levobupivacaína,Levobupivacaína Normon,Solução injetável ou para perfusão,5 mg/ml,"Laboratórios Normon, S.A.",Sim,Autorizado,Comercializado
Levobupivacaína,Levobupivacaína Normon,Solução injetável ou para perfusão,7.5 mg/ml,"Laboratórios Normon, S.A.",Sim,Autorizado,Não Comercializado
Olanzapina,Olanzapina Aurovitas,Comprimido,2.5 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Dutasterida,Dutasterida Farmoz,Cápsula mole,0.5 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Comercializado
Betametasona + Clotrimazol,Flotiran,Pomada,0.5 mg/g + 10 mg/g,"Organon Portugal, Sociedade Unipessoal, Lda.",Não,Autorizado,Comercializado
Propranolol,Propranolol Accord,Comprimido revestido por película,80 mg,"Accord Healthcare, S.L.U.",Sim,Autorizado,Não Comercializado
Clotrimazol,Gino-Canesten,Creme vaginal,10 mg/g,"Bayer Portugal, Lda.",Não,Autorizado,Comercializado
Indometacina,Indocid Retard,Cápsula de libertação prolongada,75 mg,H.A.C. Pharma,Não,Autorizado,Comercializado
Teriparatida,Terrosa,Solução injetável,0.25 mg/ml,"Gedeon Richter, Plc.",Não,Autorizado,Não Comercializado
Olodaterol,Striverdi Respimat,Solução para inalação,2.5 µg/dose,Boehringer Ingelheim International GmbH,Não,Autorizado,Comercializado
Azitromicina,Azitromicina Aurovitas,Comprimido revestido por película,500 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Amissulprida,Amissulprida Aurovitas,Comprimido,50 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Prednisolona + Cloranfenicol,Predniftalmina,Pomada oftálmica,2.5 mg/g + 10 mg/g,"DAVI II - Farmacêutica, S.A.",Não,Autorizado,Comercializado
Irbesartan + Hidroclorotiazida,Irbesartan + Hidroclorotiazida Aurovitas,Comprimido revestido por película,300 mg + 12.5 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Pirlindol,Implementor,Comprimido,75 mg,"Tecnimede - Sociedade Técnico-Medicinal, S.A.",Não,Autorizado,Comercializado
Furosemida,Furosemida Generis,Comprimido,20 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Somatropina,Genotropin,Pó e solvente para solução injetável,12 mg/1 ml,"Laboratórios Pfizer, Lda.",Não,Autorizado,Comercializado
Álcool diclorobenzílico + Amilmetacresol,Strepsils Laranja com Vitamina C,Pastilha,1.2 mg + 0.6 mg,"Reckitt Benckiser Healthcare, Lda.",Não,Autorizado,Comercializado
Drospirenona + Etinilestradiol,Velmari,Comprimido revestido por película,3 mg + 0.02 mg,"Exeltis Healthcare, S.L.",Não,Autorizado,Não Comercializado
Dasatinib,Dasatinib Teva,Comprimido revestido por película,20 mg,Teva B.V.,Sim,Autorizado,Não Comercializado
Dasatinib,Dasatinib Teva,Comprimido revestido por película,50 mg,Teva B.V.,Sim,Autorizado,Comercializado
Dasatinib,Dasatinib Teva,Comprimido revestido por película,70 mg,Teva B.V.,Sim,Autorizado,Não Comercializado
Bisacodilo,Moderlax,Comprimido revestido,5 mg,"Laboratórios Atral, S.A.",Não,Autorizado,Comercializado
Fluticasona + Salmeterol,Fluticasona + Salmeterol Generis,Pó para inalação em recipiente unidose,250 µg/dose + 50 µg/dose,"Generis Farmacêutica, S.A.",Não,Autorizado,Comercializado
Minoxidil,Minoxidil Biorga,Solução cutânea,50 mg/ml,"Laboratoires Bailleul, S.A.",Não,Autorizado,Comercializado
Siltuximab,Sylvant,Pó para concentrado para solução para perfusão,400 mg,Recordati Netherlands B.V.,Não,Autorizado,Não Comercializado
Capecitabina,Capecitabina Pharmacare,Comprimido revestido por película,150 mg,Pharmacare Premium Limited,Sim,Autorizado,Não Comercializado
Micofenolato de mofetil,Micofenolato de Mofetil Accord,Cápsula,250 mg,"Accord Healthcare, S.L.U.",Sim,Autorizado,Comercializado
Plerixafor,Plerixafor Accord,Solução injetável,20 mg/ml,"Accord Healthcare, S.L.U.",Sim,Autorizado,Não Comercializado
Sofosbuvir + Velpatasvir,Epclusa,Granulado revestido em saqueta,150 mg + 37.5 mg,Gilead Sciences Ireland UC,Não,Autorizado,Não Comercializado
Sildenafil,Revatio,Pó para suspensão oral,10 mg/ml,Upjohn EESV,Não,Autorizado,Comercializado
Rivaroxabano,Rivaroxabano Aurovitas,Comprimido revestido por película,(15 mg) + (20 mg),"Generis Phar, Unipessoal Lda.",Sim,Autorizado,Não Comercializado
Capecitabina,Ecansya,Comprimido revestido por película,150 mg,"KRKA d.d., Novo mesto",Sim,Autorizado,Não Comercializado
Capecitabina,Ecansya,Comprimido revestido por película,300 mg,"KRKA d.d., Novo mesto",Não,Autorizado,Não Comercializado
Capecitabina,Ecansya,Comprimido revestido por película,500 mg,"KRKA d.d., Novo mesto",Sim,Autorizado,Não Comercializado
Drospirenona + Etinilestradiol,Drospirenona + Etinilestradiol Aurovitas,Comprimido revestido por película,3 mg + 0.02 mg,Eugia Pharma (Malta) Limited,Sim,Autorizado,Não Comercializado
Cobimetinib,Cotellic,Comprimido revestido por película,20 mg,Roche Registration GmbH,Não,Autorizado,Comercializado
"Vacina contra o sarampo, a papeira e a rubéola",Priorix,Pó e solvente para solução injetável,Associação,"SmithKline & French Portuguesa - Produtos Farmacêuticos, Lda.",Não,Autorizado,Não Comercializado
Rivastigmina,Rivastigmina Sandoz,Sistema transdérmico,9.5 mg/24 h,"Sandoz Farmacêutica, Lda.",Sim,Autorizado,Não Comercializado
Haloperidol,Haldol Decanoato,Solução injetável,50 mg/1 ml,Essential Pharma Limited,Não,Autorizado,Comercializado
